Epoch,Train acc,Train Action Loss,Train Location Loss,Train Baseline Loss,Epoch,Test Accuracy (%),Test Action Loss,Test Location Loss,Test Baseline Loss,Test Accuracy,Test ASD Accuracy,Test TD Accuracy
0,50.0,0.6931671786308289,0.07263984948396683,0.38693266248703,0,50.0,0.6931671786308289,0.07263984948396683,0.38693266248703,"tensor(0.33333, device='cuda:0')",0.0,1.0
1,50.0,0.6931493225097656,0.13995330902934075,0.3475798006057739,1,50.0,0.6931493225097656,0.13995330902934075,0.3475798006057739,"tensor(0.33333, device='cuda:0')",0.0,1.0
2,50.0,0.6931472110748291,0.05661785292625427,0.31877295637130737,2,50.0,0.6931472110748291,0.05661785292625427,0.31877295637130737,"tensor(0.66667, device='cuda:0')",1.0,0.0
3,50.0,0.6931472449302674,0.045627955853939056,0.29797985148429873,3,50.0,0.6931472449302674,0.045627955853939056,0.29797985148429873,"tensor(0.66667, device='cuda:0')",1.0,0.0
4,50.0,0.6931471939086914,0.06000464257597923,0.2831526551246643,4,50.0,0.6931471939086914,0.06000464257597923,0.2831526551246643,"tensor(0.33333, device='cuda:0')",0.0,1.0
5,50.0,0.69314719581604,0.0387296339571476,0.27270233607292177,5,50.0,0.69314719581604,0.0387296339571476,0.27270233607292177,"tensor(0.66667, device='cuda:0')",1.0,0.0
6,50.0,0.6931471996307373,0.08162208878993989,0.26541843795776365,6,50.0,0.6931471996307373,0.08162208878993989,0.26541843795776365,"tensor(0.66667, device='cuda:0')",1.0,0.0
7,50.0,0.6931471900939942,0.010418134033679962,0.2603942937850952,7,50.0,0.6931471900939942,0.010418134033679962,0.2603942937850952,"tensor(0.66667, device='cuda:0')",1.0,0.0
8,50.0,0.6931471862792968,0.030568126797676086,0.2569619841575623,8,50.0,0.6931471862792968,0.030568126797676086,0.2569619841575623,"tensor(0.33333, device='cuda:0')",0.0,1.0
9,50.0,0.6931471910476684,-0.03911836159229279,0.2546374354362488,9,50.0,0.6931471910476684,-0.03911836159229279,0.2546374354362488,"tensor(0.33333, device='cuda:0')",0.0,1.0
10,50.0,0.6931471843719482,-0.015444111764431,0.2530750641822815,10,50.0,0.6931471843719482,-0.015444111764431,0.2530750641822815,"tensor(0.33333, device='cuda:0')",0.0,1.0

